headline,source
superstar chef yannick alléno brings refined french cuisine to pavyllon london,Forbes
nice claim top spot in ligue 1 with late win at clermont,CNA
amphibians are the world’s most vulnerable species and threats are increasing,Time
image: rusty red waters in madagascar,Phys.Org
everything leaving max (formerly hbo max) in november 2023,Digital Trends
unga calls for humanitarian truce in israel-hamas war: how countries voted?,Al Jazeera English
malawi heatwave warning issued as temperatures set to soar,BBC News
researcher scans tropical forest with mixed-reality device,Phys.Org
"‘taylor swift: the eras tour’ movie: tickets, release dates, premiere & where to watch",Deadline
marine le pen found guilty of defamation after accusing french ngo of smuggling migrants in mayotte,Euronews
"tiny and mysterious: research sheds light on sub-saharan africa's seahorses, pipefish and pipehorses",Phys.Org
russian marine scientists to conduct african research,RT
how animal traits have shaped the journey of species across the globe,Phys.Org
investing in girls and their futures,Forbes
setting intentional climate solution goals as a corporate leader,Forbes
"full list: davido, rema win big at 2023 trace awards",The Punch
‘kids whose insides are destroyed’: the return of drug abuse to mauritius,Al Jazeera English
red alert for the ev market: china puts curb on graphite export,Euronews
south star eyes faster ramp up of brazil graphite mine,CNA
10 of the best matcha powders that are smooth and delicious,Forbes
miners race to realise graphite projects as china controls exports,CNA
climate change primary driver of amphibian decline: study,International Business Times
"the bloody history behind how israel, and palestine, came into existence",The Indian Express
20 delicious dishes to enjoy while celebrating national pasta day,Forbes
turquoise hydrogen producers could capture flourishing graphite market,Forbes
tirupati graphite (lon:tgr) trading 3.9% higher,ETF Daily News
mother pleads for help over missing daughter,BBC News
amphibians are the world's most vulnerable species and threats are increasing,ABC News
malawi begins free food distribution to hunger-stricken citizens,Globalsecurity.org
"tirupati graphite says interim performance ""significantly ahead""",Marketscreener.com
lion sees path to restarting graphite mine,Marketscreener.com
the best places to buy christmas cards online before the holiday craze,Forbes
amphibian crisis: 41% of species deemed threatened with extinction,CNA
bouldering in south-central madagascar: a new 'rock-climbing' gecko species of the genus paroedura,Phys.Org
rule of law: nigeria ranks 120th out of 142 countries,The Punch
"tirupati says china graphite export curbs ""positive"" for company",Marketscreener.com
base resources limited - notice of 2023 annual general meeting,Marketscreener.com
mumbai doctors remove spine tumour 30 times size of egg over 5 days,The Times of India
"global cobalt industry report 2023-2028: asia leads cobalt consumption, driven by ev and electronics boom",GlobeNewswire
miners race to realise graphite projects as china controls exports,Marketscreener.com
"israel tells citizens to leave egypt, jordan ‘as soon as possible’",Al Jazeera English
vox royalty corp. (nasdaq:voxr) sees large growth in short interest,ETF Daily News
base resources limited - ltip performance rights update,Marketscreener.com
orange : accelerates the deployment of orange energies and launches a solar freezer ...,Marketscreener.com
base resources limited - quarterly activities report - september 2023,Marketscreener.com
african apparel industry's future hangs on a u.s. thread,Marketscreener.com
base resources limited - kwale operations to complete mining at end of 2024,Marketscreener.com
countries should build trust on maritime front through dialogue: rajnath singh,The Times of India
african governments discuss root causes of coups,RT
‘music to beijing’s ears’: has china won the maldives presidency?,Al Jazeera English
maldives president-elect: indian troops out a week after new term,Al Jazeera English
"ananya panday takes us inside her ‘perfect birthday morning’ in maldives, see photos and videos",The Indian Express
virgin atlantic launches flights between london and malé,Forbes
discover the magic of mantas with four seasons maldives,Forbes
"bucket list travel: the top 20 places in the world, according to a new report",Forbes
"experience luxury and seclusion at ifuru island maldives opened on september 23, 2023",Forbes
biases found in coral reef research,Phys.Org
raghav chadha shares unseen photos on wife parineeti chopra’s birthday: ‘you light up my life like a superstar’,The Indian Express
hotels celebrate the holidays with festive activities,Forbes
sri lanka to thailand: top destinations indians can travel without a visa,The Indian Express
akshay kumar gets caught in a tree as daughter nitara takes charge of their boat: ‘then this happened’,The Indian Express
