headline,source,sensational
"Germany's Kuehne examines offer for Signa's Hamburg skyscraper, Handelsblatt reports",reuters,0
Shoppers click 'buy' as retailers slash prices ahead of Cyber Monday,reuters,0
US Black Friday sales rise 2.5% -Mastercard Spendingpulse,reuters,0
X may lose up to $75M by year-end on advertiser exodus,reuters,0
Sri Lanka to OK Sinopec's $4.5 bln refinery proposal on Monday -minister,reuters,0
Brazil signs on to global climate deal to triple renewable energy,reuters,0
"World's largest iceberg breaks free, heads toward Southern Ocean",reuters,0
Buffett's Berkshire Hathaway exits India's Paytm in $165 million deal,reuters,0
Swedish union blocks Tesla components as dispute intensifies,reuters,0
"Tesla ready to invest up to $2 bln to build India factory, but with riders -ET",reuters,0
Grid operator to interfere in Finnish electricity market after bidding error,reuters,0
Explainer: Global fossil fuel subsidies on the rise despite calls for phase-out,reuters,0
"Exclusive: Barclays working on $1.25 billion cost plan, could cut up to 2,000 jobs -source",reuters,0
Don't press 'pandemic panic button' scientists caution on China pneumonia report,reuters,0
Sam Altman's ouster was precipitated by letter to board about AI breakthrough,reuters,0
FAA approves Boeing to start 737 MAX 10 certification flight tests,reuters,0
Sony facing $7.9B mass lawsuit over Playstation Store prices,reuters,0
Deere forecasts downbeat profit as high borrowing costs pinch demand,reuters,0
Mitsubishi Heavy expects to double defence revenue next year,reuters,0
Planting 'koala corridors' to save Australia's endangered marsupial,reuters,0
Citi makes new appointments in Asia Pacific as part of restructuring,reuters,0
Why carbon capture is no easy solution to climate change,reuters,0
Economic models buckle under strain of climate reality,reuters,0
Buffett says Berkshire has the 'right CEO' to succeed him,reuters,0
OpenAI investors considering suing the board after CEO's abrupt firing,reuters,0
Giant batteries drain economics of gas power plants,reuters,0
Tesla Launched Its Own Car Insurance. These Drivers Say It's A Lemon,reuters,0
OpenAI's board approached Anthropic CEO about top job and merger,reuters,0
Indian researchers find no link between sudden death and COVID shots,reuters,0
Neste could have excess sustainable jet fuel by 2028 - executive,reuters,0
"Venmo, Cash App users sue Apple over peer-to-peer payment fees",reuters,0
Wells Fargo employees at two branches mount unionization campaign,reuters,0
Exclusive: US securities regulator signals it may curb climate rule ambitions,reuters,0
US to offer more free COVID tests nationwide,reuters,0
"Researchers return to Alzheimer's vaccines, buoyed by recent drug success",reuters,0
Wegovy craze was all the rage on Q3 earnings calls,reuters,0
"Citigroup employees brace for layoffs, management overhaul - sources",reuters,0
Spanish supermarkets lock up olive oil as shoplifting surges,reuters,0
GM's cruise CEO resigns from company - email,reuters,0
Argentina elects 'shock therapy' libertarian Javier Milei as president,reuters,0
Finland's OL3 nuclear reactor suffers unexpected outage,reuters,0
Blackstone frontrunner in Signature Bank commercial-property loan sale- Bloomberg News,reuters,0
France test-fires long-range ballistic missile in bid to boost nuclear deterrence,reuters,0
OpenAI co-founder Altman planning new venture,reuters,0
Explainer: What’s behind the scramble for semaglutide?,reuters,0
How well-off Brits still buy Ozempic online for weight loss,reuters,0
Short-seller Jim Chanos to close hedge funds - WSJ,reuters,0
"Cruise testing continues in Japan, Dubai, even as vehicles parked in US",reuters,0
Meta's head of augmented reality software stepping down,reuters,0
Hedge fund Qube makes $835 million bet against HSBC shares,reuters,0
Apple files legal challenge to EU's Digital Markets Act,reuters,0
Fisker delivers over 100 cars in a day with new distribution strategy,reuters,0
Exclusivity the name of the game as luxury firms target China's wealthiest for growth,reuters,0
"CDC expedites release of 77,000 additional doses of Sanofi-AstraZeneca's RSV drug",reuters,0
Fact check: Earth is not flat or surrounded by an ice wall,reuters,0
"Samsung boss Jay Y Lee faces final hearing over alleged fraud, stock manipulation",reuters,0
Amazon to sell Hyundai vehicles online starting in 2024,reuters,0
Subaru to raise US plant worker wages in light of UAW deals with Detroit automakers -CEO,reuters,0
UAW ratifies labor deal with General Motors,reuters,0
"Sweden plans new nuclear reactors by 2035, will share costs",reuters,0
Starbucks employees at hundreds of US stores walkout on Red Cup day,reuters,0
UK authorises gene therapy for blood disorders in world first,reuters,0
Airbus nears compromise deal after Emirates jet order row,reuters,0
"GM workers at big Texas plant approve UAW deal, boosting chances of passage",reuters,0
"Microsoft introduces its own chips for AI, with eye on cost",reuters,0
NATO to replace AWACS surveillance jets with modified Boeing 737,reuters,0
Airlines in last-minute talks to rescue Dubai Airshow deals,reuters,0
